"variable","year","value","units","source"
"CH4_concentration",1880,854.5763,"ppbv CH4","cmip7"
"CH4_concentration",1881,856.4181,"ppbv CH4","cmip7"
"CH4_concentration",1882,858.177,"ppbv CH4","cmip7"
"CH4_concentration",1883,860.12585,"ppbv CH4","cmip7"
"CH4_concentration",1884,862.29846,"ppbv CH4","cmip7"
"CH4_concentration",1885,864.77814,"ppbv CH4","cmip7"
"CH4_concentration",1886,867.3069,"ppbv CH4","cmip7"
"CH4_concentration",1887,869.9095,"ppbv CH4","cmip7"
"CH4_concentration",1888,873.2229,"ppbv CH4","cmip7"
"CH4_concentration",1889,877.4022,"ppbv CH4","cmip7"
"CH4_concentration",1890,880.21906,"ppbv CH4","cmip7"
"CH4_concentration",1891,882.7593,"ppbv CH4","cmip7"
"CH4_concentration",1892,885.5133,"ppbv CH4","cmip7"
"CH4_concentration",1893,888.51154,"ppbv CH4","cmip7"
"CH4_concentration",1894,892.0517,"ppbv CH4","cmip7"
"CH4_concentration",1895,895.6895,"ppbv CH4","cmip7"
"CH4_concentration",1896,899.27124,"ppbv CH4","cmip7"
"CH4_concentration",1897,901.76434,"ppbv CH4","cmip7"
"CH4_concentration",1898,903.6866,"ppbv CH4","cmip7"
"CH4_concentration",1899,905.5435,"ppbv CH4","cmip7"
"CH4_concentration",1900,907.6626,"ppbv CH4","cmip7"
"CH4_concentration",1901,909.70807,"ppbv CH4","cmip7"
"CH4_concentration",1902,913.1248,"ppbv CH4","cmip7"
"CH4_concentration",1903,917.1863,"ppbv CH4","cmip7"
"CH4_concentration",1904,922.413,"ppbv CH4","cmip7"
"CH4_concentration",1905,927.75964,"ppbv CH4","cmip7"
"CH4_concentration",1906,933.3427,"ppbv CH4","cmip7"
"CH4_concentration",1907,937.03625,"ppbv CH4","cmip7"
"CH4_concentration",1908,941.1984,"ppbv CH4","cmip7"
"CH4_concentration",1909,946.34125,"ppbv CH4","cmip7"
"CH4_concentration",1910,951.75946,"ppbv CH4","cmip7"
"CH4_concentration",1911,957.9007,"ppbv CH4","cmip7"
"CH4_concentration",1912,964.29584,"ppbv CH4","cmip7"
"CH4_concentration",1913,970.5161,"ppbv CH4","cmip7"
"CH4_concentration",1914,974.45264,"ppbv CH4","cmip7"
"CH4_concentration",1915,978.70337,"ppbv CH4","cmip7"
"CH4_concentration",1916,983.43506,"ppbv CH4","cmip7"
"CH4_concentration",1917,988.7853,"ppbv CH4","cmip7"
"CH4_concentration",1918,994.25574,"ppbv CH4","cmip7"
"CH4_concentration",1919,998.3229,"ppbv CH4","cmip7"
"CH4_concentration",1920,1003.78766,"ppbv CH4","cmip7"
"CH4_concentration",1921,1009.85315,"ppbv CH4","cmip7"
"CH4_concentration",1922,1014.8926,"ppbv CH4","cmip7"
"CH4_concentration",1923,1020.6547,"ppbv CH4","cmip7"
"CH4_concentration",1924,1026.7754,"ppbv CH4","cmip7"
"CH4_concentration",1925,1031.654,"ppbv CH4","cmip7"
"CH4_concentration",1926,1037.513,"ppbv CH4","cmip7"
"CH4_concentration",1927,1042.0635,"ppbv CH4","cmip7"
"CH4_concentration",1928,1046.2665,"ppbv CH4","cmip7"
"CH4_concentration",1929,1050.36,"ppbv CH4","cmip7"
"CH4_concentration",1930,1055.4187,"ppbv CH4","cmip7"
"CH4_concentration",1931,1059.6307,"ppbv CH4","cmip7"
"CH4_concentration",1932,1063.9447,"ppbv CH4","cmip7"
"CH4_concentration",1933,1068.3408,"ppbv CH4","cmip7"
"CH4_concentration",1934,1072.9014,"ppbv CH4","cmip7"
"CH4_concentration",1935,1077.5043,"ppbv CH4","cmip7"
"CH4_concentration",1936,1082.725,"ppbv CH4","cmip7"
"CH4_concentration",1937,1087.3102,"ppbv CH4","cmip7"
"CH4_concentration",1938,1091.9843,"ppbv CH4","cmip7"
"CH4_concentration",1939,1095.9309,"ppbv CH4","cmip7"
"CH4_concentration",1940,1100.0146,"ppbv CH4","cmip7"
"CH4_concentration",1941,1105.2523,"ppbv CH4","cmip7"
"CH4_concentration",1942,1110.287,"ppbv CH4","cmip7"
"CH4_concentration",1943,1115.0511,"ppbv CH4","cmip7"
"CH4_concentration",1944,1122.5753,"ppbv CH4","cmip7"
"CH4_concentration",1945,1130.4346,"ppbv CH4","cmip7"
"CH4_concentration",1946,1138.499,"ppbv CH4","cmip7"
"CH4_concentration",1947,1147.0487,"ppbv CH4","cmip7"
"CH4_concentration",1948,1153.7858,"ppbv CH4","cmip7"
"CH4_concentration",1949,1160.2513,"ppbv CH4","cmip7"
"CH4_concentration",1950,1165.0159,"ppbv CH4","cmip7"
"CH4_concentration",1951,1170.0625,"ppbv CH4","cmip7"
"CH4_concentration",1952,1177.2667,"ppbv CH4","cmip7"
"CH4_concentration",1953,1186.202,"ppbv CH4","cmip7"
"CH4_concentration",1954,1196.9535,"ppbv CH4","cmip7"
"CH4_concentration",1955,1208.8506,"ppbv CH4","cmip7"
"CH4_concentration",1956,1222.6984,"ppbv CH4","cmip7"
"CH4_concentration",1957,1235.1564,"ppbv CH4","cmip7"
"CH4_concentration",1958,1244.6722,"ppbv CH4","cmip7"
"CH4_concentration",1959,1252.3525,"ppbv CH4","cmip7"
"CH4_concentration",1960,1262.9752,"ppbv CH4","cmip7"
"CH4_concentration",1961,1274.44,"ppbv CH4","cmip7"
"CH4_concentration",1962,1288.2925,"ppbv CH4","cmip7"
"CH4_concentration",1963,1302.7885,"ppbv CH4","cmip7"
"CH4_concentration",1964,1316.2968,"ppbv CH4","cmip7"
"CH4_concentration",1965,1331.4832,"ppbv CH4","cmip7"
"CH4_concentration",1966,1346.6862,"ppbv CH4","cmip7"
"CH4_concentration",1967,1360.6283,"ppbv CH4","cmip7"
"CH4_concentration",1968,1375.7056,"ppbv CH4","cmip7"
"CH4_concentration",1969,1395.4908,"ppbv CH4","cmip7"
"CH4_concentration",1970,1412.8004,"ppbv CH4","cmip7"
"CH4_concentration",1971,1430.5983,"ppbv CH4","cmip7"
"CH4_concentration",1972,1447.787,"ppbv CH4","cmip7"
"CH4_concentration",1973,1462.3563,"ppbv CH4","cmip7"
"CH4_concentration",1974,1479.2399,"ppbv CH4","cmip7"
"CH4_concentration",1975,1496.2742,"ppbv CH4","cmip7"
"CH4_concentration",1976,1512.9558,"ppbv CH4","cmip7"
"CH4_concentration",1977,1529.7163,"ppbv CH4","cmip7"
"CH4_concentration",1978,1547.4382,"ppbv CH4","cmip7"
"CH4_concentration",1979,1565.2207,"ppbv CH4","cmip7"
"CH4_concentration",1980,1583.9426,"ppbv CH4","cmip7"
"CH4_concentration",1981,1601.0251,"ppbv CH4","cmip7"
"CH4_concentration",1982,1616.9751,"ppbv CH4","cmip7"
"CH4_concentration",1983,1633.2029,"ppbv CH4","cmip7"
"CH4_concentration",1984,1646.8208,"ppbv CH4","cmip7"
"CH4_concentration",1985,1659.9908,"ppbv CH4","cmip7"
"CH4_concentration",1986,1672.9498,"ppbv CH4","cmip7"
"CH4_concentration",1987,1686.08,"ppbv CH4","cmip7"
"CH4_concentration",1988,1698.8643,"ppbv CH4","cmip7"
"CH4_concentration",1989,1708.8883,"ppbv CH4","cmip7"
"CH4_concentration",1990,1719.9836,"ppbv CH4","cmip7"
"CH4_concentration",1991,1732.0286,"ppbv CH4","cmip7"
"CH4_concentration",1992,1744.0833,"ppbv CH4","cmip7"
"CH4_concentration",1993,1746.2545,"ppbv CH4","cmip7"
"CH4_concentration",1994,1749.6687,"ppbv CH4","cmip7"
"CH4_concentration",1995,1757.259,"ppbv CH4","cmip7"
"CH4_concentration",1996,1758.647,"ppbv CH4","cmip7"
"CH4_concentration",1997,1762.4814,"ppbv CH4","cmip7"
"CH4_concentration",1998,1772.2845,"ppbv CH4","cmip7"
"CH4_concentration",1999,1779.5907,"ppbv CH4","cmip7"
"CH4_concentration",2000,1778.9182,"ppbv CH4","cmip7"
"CH4_concentration",2001,1779.1799,"ppbv CH4","cmip7"
"CH4_concentration",2002,1781.4246,"ppbv CH4","cmip7"
"CH4_concentration",2003,1787.357,"ppbv CH4","cmip7"
"CH4_concentration",2004,1789.1829,"ppbv CH4","cmip7"
"CH4_concentration",2005,1786.484,"ppbv CH4","cmip7"
"CH4_concentration",2006,1786.2482,"ppbv CH4","cmip7"
"CH4_concentration",2007,1790.932,"ppbv CH4","cmip7"
"CH4_concentration",2008,1800.4309,"ppbv CH4","cmip7"
"CH4_concentration",2009,1804.3069,"ppbv CH4","cmip7"
"CH4_concentration",2010,1809.6775,"ppbv CH4","cmip7"
"CH4_concentration",2011,1813.6029,"ppbv CH4","cmip7"
"CH4_concentration",2012,1818.2589,"ppbv CH4","cmip7"
"CH4_concentration",2013,1824.6205,"ppbv CH4","cmip7"
"CH4_concentration",2014,1834.5485,"ppbv CH4","cmip7"
"CH4_concentration",2015,1845.9594,"ppbv CH4","cmip7"
"CH4_concentration",2016,1852.3977,"ppbv CH4","cmip7"
"CH4_concentration",2017,1859.3855,"ppbv CH4","cmip7"
"CH4_concentration",2018,1869.5219,"ppbv CH4","cmip7"
"CH4_concentration",2019,1877.2648,"ppbv CH4","cmip7"
"CH4_concentration",2020,1889.4786,"ppbv CH4","cmip7"
"CH4_concentration",2021,1906.1812,"ppbv CH4","cmip7"
"CH4_concentration",2022,1922.0865,"ppbv CH4","cmip7"
"CO2_concentration",1745,278.00745,"ppmv CO2","cmip7"
"CO2_concentration",1746,278.00745,"ppmv CO2","cmip7"
"CO2_concentration",1747,278.00745,"ppmv CO2","cmip7"
"CO2_concentration",1748,278.00745,"ppmv CO2","cmip7"
"CO2_concentration",1749,278.00745,"ppmv CO2","cmip7"
"CO2_concentration",1750,278.00745,"ppmv CO2","cmip7"
"CO2_concentration",1751,278.0183,"ppmv CO2","cmip7"
"CO2_concentration",1752,278.02832,"ppmv CO2","cmip7"
"CO2_concentration",1753,278.03833,"ppmv CO2","cmip7"
"CO2_concentration",1754,278.05832,"ppmv CO2","cmip7"
"CO2_concentration",1755,278.0783,"ppmv CO2","cmip7"
"CO2_concentration",1756,278.08838,"ppmv CO2","cmip7"
"CO2_concentration",1757,278.0984,"ppmv CO2","cmip7"
"CO2_concentration",1758,278.1084,"ppmv CO2","cmip7"
"CO2_concentration",1759,278.11838,"ppmv CO2","cmip7"
"CO2_concentration",1760,278.1384,"ppmv CO2","cmip7"
"CO2_concentration",1761,278.15848,"ppmv CO2","cmip7"
"CO2_concentration",1762,278.18848,"ppmv CO2","cmip7"
"CO2_concentration",1763,278.2285,"ppmv CO2","cmip7"
"CO2_concentration",1764,278.27847,"ppmv CO2","cmip7"
"CO2_concentration",1765,278.33847,"ppmv CO2","cmip7"
"CO2_concentration",1766,278.4086,"ppmv CO2","cmip7"
"CO2_concentration",1767,278.4786,"ppmv CO2","cmip7"
"CO2_concentration",1768,278.5586,"ppmv CO2","cmip7"
"CO2_concentration",1769,278.6386,"ppmv CO2","cmip7"
"CO2_concentration",1770,278.7286,"ppmv CO2","cmip7"
"CO2_concentration",1771,278.82874,"ppmv CO2","cmip7"
"CO2_concentration",1772,278.92874,"ppmv CO2","cmip7"
"CO2_concentration",1773,279.03873,"ppmv CO2","cmip7"
"CO2_concentration",1774,279.15875,"ppmv CO2","cmip7"
"CO2_concentration",1775,279.27875,"ppmv CO2","cmip7"
"CO2_concentration",1776,279.39886,"ppmv CO2","cmip7"
"CO2_concentration",1777,279.53888,"ppmv CO2","cmip7"
"CO2_concentration",1778,279.66888,"ppmv CO2","cmip7"
"CO2_concentration",1779,279.81888,"ppmv CO2","cmip7"
"CO2_concentration",1780,279.9689,"ppmv CO2","cmip7"
"CO2_concentration",1781,280.1291,"ppmv CO2","cmip7"
"CO2_concentration",1782,280.2891,"ppmv CO2","cmip7"
"CO2_concentration",1783,280.4491,"ppmv CO2","cmip7"
"CO2_concentration",1784,280.5891,"ppmv CO2","cmip7"
"CO2_concentration",1785,280.7291,"ppmv CO2","cmip7"
"CO2_concentration",1786,280.85934,"ppmv CO2","cmip7"
"CO2_concentration",1787,280.96936,"ppmv CO2","cmip7"
"CO2_concentration",1788,281.07935,"ppmv CO2","cmip7"
"CO2_concentration",1789,281.17935,"ppmv CO2","cmip7"
"CO2_concentration",1790,281.26938,"ppmv CO2","cmip7"
"CO2_concentration",1791,281.3596,"ppmv CO2","cmip7"
"CO2_concentration",1792,281.42966,"ppmv CO2","cmip7"
"CO2_concentration",1793,281.49966,"ppmv CO2","cmip7"
"CO2_concentration",1794,281.56967,"ppmv CO2","cmip7"
"CO2_concentration",1795,281.63968,"ppmv CO2","cmip7"
"CO2_concentration",1796,281.7198,"ppmv CO2","cmip7"
"CO2_concentration",1797,281.79993,"ppmv CO2","cmip7"
"CO2_concentration",1798,281.89005,"ppmv CO2","cmip7"
"CO2_concentration",1799,281.99017,"ppmv CO2","cmip7"
"CO2_concentration",1800,282.09036,"ppmv CO2","cmip7"
"CO2_concentration",1801,282.19034,"ppmv CO2","cmip7"
"CO2_concentration",1802,282.29108,"ppmv CO2","cmip7"
"CO2_concentration",1803,282.38132,"ppmv CO2","cmip7"
"CO2_concentration",1804,282.4714,"ppmv CO2","cmip7"
"CO2_concentration",1805,282.5615,"ppmv CO2","cmip7"
"CO2_concentration",1806,282.63165,"ppmv CO2","cmip7"
"CO2_concentration",1807,282.71185,"ppmv CO2","cmip7"
"CO2_concentration",1808,282.78168,"ppmv CO2","cmip7"
"CO2_concentration",1809,282.84167,"ppmv CO2","cmip7"
"CO2_concentration",1810,282.9117,"ppmv CO2","cmip7"
"CO2_concentration",1811,282.97192,"ppmv CO2","cmip7"
"CO2_concentration",1812,283.03207,"ppmv CO2","cmip7"
"CO2_concentration",1813,283.0921,"ppmv CO2","cmip7"
