"year","variable","units","scenario","source","version","value"
2035,"HFC23_emissions","Gg","Reference","GCAM","new",13.623847745966
2040,"HFC23_emissions","Gg","Reference","GCAM","new",14.000591137144
2045,"HFC23_emissions","Gg","Reference","GCAM","new",14.279923654421
2050,"HFC23_emissions","Gg","Reference","GCAM","new",14.413588091846
2055,"HFC23_emissions","Gg","Reference","GCAM","new",14.37004701734
2060,"HFC23_emissions","Gg","Reference","GCAM","new",14.263159622073
2065,"HFC23_emissions","Gg","Reference","GCAM","new",14.101405172758
2070,"HFC23_emissions","Gg","Reference","GCAM","new",13.873691315455
2075,"HFC23_emissions","Gg","Reference","GCAM","new",13.608225898964
2080,"HFC23_emissions","Gg","Reference","GCAM","new",13.29016481853
2085,"HFC23_emissions","Gg","Reference","GCAM","new",12.914832370799
2090,"HFC23_emissions","Gg","Reference","GCAM","new",12.567543031257
2095,"HFC23_emissions","Gg","Reference","GCAM","new",12.239639812045
2100,"HFC23_emissions","Gg","Reference","GCAM","new",11.892528728183
2005,"HFC32_emissions","Gg","Reference","GCAM","new",1.2060792957
2010,"HFC32_emissions","Gg","Reference","GCAM","new",2.0280780141
2015,"HFC32_emissions","Gg","Reference","GCAM","new",3.1124133134
2021,"HFC32_emissions","Gg","Reference","GCAM","new",6.0196014741
2025,"HFC32_emissions","Gg","Reference","GCAM","new",7.810100858
2030,"HFC32_emissions","Gg","Reference","GCAM","new",10.2869563397
2035,"HFC32_emissions","Gg","Reference","GCAM","new",11.6663234715
2040,"HFC32_emissions","Gg","Reference","GCAM","new",12.9174459359
2045,"HFC32_emissions","Gg","Reference","GCAM","new",14.2663819399
2050,"HFC32_emissions","Gg","Reference","GCAM","new",15.713225352
2055,"HFC32_emissions","Gg","Reference","GCAM","new",17.1499836349
2060,"HFC32_emissions","Gg","Reference","GCAM","new",18.6873720709
2065,"HFC32_emissions","Gg","Reference","GCAM","new",20.279142383
2070,"HFC32_emissions","Gg","Reference","GCAM","new",21.858319448
2075,"HFC32_emissions","Gg","Reference","GCAM","new",23.413622982
2080,"HFC32_emissions","Gg","Reference","GCAM","new",24.903235699
2085,"HFC32_emissions","Gg","Reference","GCAM","new",26.292721646
2090,"HFC32_emissions","Gg","Reference","GCAM","new",27.60955425
2095,"HFC32_emissions","Gg","Reference","GCAM","new",28.828851639
2100,"HFC32_emissions","Gg","Reference","GCAM","new",29.881730823
1990,"SF6_emissions","Gg","Reference","GCAM","new",2.7646554195
2005,"SF6_emissions","Gg","Reference","GCAM","new",2.5740714763
2010,"SF6_emissions","Gg","Reference","GCAM","new",3.0635693566
2015,"SF6_emissions","Gg","Reference","GCAM","new",3.6045659027
2021,"SF6_emissions","Gg","Reference","GCAM","new",4.2902322408
2025,"SF6_emissions","Gg","Reference","GCAM","new",4.69503978186
2030,"SF6_emissions","Gg","Reference","GCAM","new",5.23025980626
2035,"SF6_emissions","Gg","Reference","GCAM","new",5.73128302653
2040,"SF6_emissions","Gg","Reference","GCAM","new",6.01669434756
2045,"SF6_emissions","Gg","Reference","GCAM","new",6.20815854984
2050,"SF6_emissions","Gg","Reference","GCAM","new",6.66151153974
2055,"SF6_emissions","Gg","Reference","GCAM","new",7.04631360962
2060,"SF6_emissions","Gg","Reference","GCAM","new",7.43350964894
2065,"SF6_emissions","Gg","Reference","GCAM","new",7.8166800128
2070,"SF6_emissions","Gg","Reference","GCAM","new",8.18014464588
2075,"SF6_emissions","Gg","Reference","GCAM","new",8.51085062762
2080,"SF6_emissions","Gg","Reference","GCAM","new",8.8043311649
2085,"SF6_emissions","Gg","Reference","GCAM","new",9.03838054096
2090,"SF6_emissions","Gg","Reference","GCAM","new",9.25987308826
2095,"SF6_emissions","Gg","Reference","GCAM","new",9.46687371343
2100,"SF6_emissions","Gg","Reference","GCAM","new",9.65720506219
1990,"CF4_emissions","Gg","Reference","GCAM","new",11.1037607851
2010,"HFC23_emissions","Gg","Reference","GCAM","new",9.0445387905
1990,"C2F6_emissions","Gg","Reference","GCAM","new",1.6781865058
2005,"HFC23_emissions","Gg","Reference","GCAM","new",6.8150399058
1990,"HFC23_emissions","Gg","Reference","GCAM","new",9.1995099459024
1990,"HFC134a_emissions","Gg","Reference","GCAM","new",0.00555238062543
1990,"HFC245fa_emissions","Gg","Reference","GCAM","new",9.010356e-06
1990,"HFC143a_emissions","Gg","Reference","GCAM","new",1.078794e-05
1990,"ffi_emissions","Pg C/yr","Reference","GCAM","new",6.06840647492851
2005,"ffi_emissions","Pg C/yr","Reference","GCAM","new",8.03407247058697
2010,"ffi_emissions","Pg C/yr","Reference","GCAM","new",9.12766818353557
2015,"ffi_emissions","Pg C/yr","Reference","GCAM","new",9.7579286220489
2021,"ffi_emissions","Pg C/yr","Reference","GCAM","new",10.1203471154083
2025,"ffi_emissions","Pg C/yr","Reference","GCAM","new",10.6729911496505
2030,"ffi_emissions","Pg C/yr","Reference","GCAM","new",10.9719075073104
2035,"ffi_emissions","Pg C/yr","Reference","GCAM","new",11.0394006386353
2040,"ffi_emissions","Pg C/yr","Reference","GCAM","new",10.9948365418455
2045,"ffi_emissions","Pg C/yr","Reference","GCAM","new",10.9069657098485
2050,"ffi_emissions","Pg C/yr","Reference","GCAM","new",10.8280632980095
2055,"ffi_emissions","Pg C/yr","Reference","GCAM","new",10.8038422556127
2060,"ffi_emissions","Pg C/yr","Reference","GCAM","new",10.93115475529
2065,"ffi_emissions","Pg C/yr","Reference","GCAM","new",11.1146964781723
2070,"ffi_emissions","Pg C/yr","Reference","GCAM","new",11.3083891683374
2075,"ffi_emissions","Pg C/yr","Reference","GCAM","new",11.5632640326172
2080,"ffi_emissions","Pg C/yr","Reference","GCAM","new",11.7396589948634
2085,"ffi_emissions","Pg C/yr","Reference","GCAM","new",11.7998971614755
2090,"ffi_emissions","Pg C/yr","Reference","GCAM","new",11.9279576269236
2095,"ffi_emissions","Pg C/yr","Reference","GCAM","new",12.0501246511684
2100,"ffi_emissions","Pg C/yr","Reference","GCAM","new",12.1606991381622
1990,"BC_emissions","Tg","Reference","GCAM","new",7.09501283604481
2005,"BC_emissions","Tg","Reference","GCAM","new",7.49206577711224
2010,"BC_emissions","Tg","Reference","GCAM","new",7.51361157883193
2015,"BC_emissions","Tg","Reference","GCAM","new",7.10783848193829
2021,"BC_emissions","Tg","Reference","GCAM","new",6.67505467668711
2025,"BC_emissions","Tg","Reference","GCAM","new",6.51396513958291
2030,"BC_emissions","Tg","Reference","GCAM","new",5.88680651523794
2035,"BC_emissions","Tg","Reference","GCAM","new",5.4556440548809
2040,"BC_emissions","Tg","Reference","GCAM","new",5.13543205366878
2045,"BC_emissions","Tg","Reference","GCAM","new",4.94363417790601
2050,"BC_emissions","Tg","Reference","GCAM","new",4.76657691250123
2055,"BC_emissions","Tg","Reference","GCAM","new",4.66376174722709
2060,"BC_emissions","Tg","Reference","GCAM","new",4.57655794861771
2065,"BC_emissions","Tg","Reference","GCAM","new",4.48831502244282
2070,"BC_emissions","Tg","Reference","GCAM","new",4.39175837992975
2075,"BC_emissions","Tg","Reference","GCAM","new",4.2894849069348
2080,"BC_emissions","Tg","Reference","GCAM","new",4.1782596177228
2085,"BC_emissions","Tg","Reference","GCAM","new",4.06040717222749
2090,"BC_emissions","Tg","Reference","GCAM","new",3.94220095476813
2095,"BC_emissions","Tg","Reference","GCAM","new",3.81739833961198
2100,"BC_emissions","Tg","Reference","GCAM","new",3.69523081943645
1990,"CH4_emissions","Tg CH4","Reference","GCAM","new",294.029876741198
2005,"CH4_emissions","Tg CH4","Reference","GCAM","new",308.497318559905
2010,"CH4_emissions","Tg CH4","Reference","GCAM","new",318.41229436447
2015,"CH4_emissions","Tg CH4","Reference","GCAM","new",330.446809300686
2021,"CH4_emissions","Tg CH4","Reference","GCAM","new",343.887709026004
2025,"CH4_emissions","Tg CH4","Reference","GCAM","new",363.614638113367
2030,"CH4_emissions","Tg CH4","Reference","GCAM","new",376.631398674669
2035,"CH4_emissions","Tg CH4","Reference","GCAM","new",388.710747217427
2040,"CH4_emissions","Tg CH4","Reference","GCAM","new",400.950925849548
2045,"CH4_emissions","Tg CH4","Reference","GCAM","new",412.498400901455
2050,"CH4_emissions","Tg CH4","Reference","GCAM","new",427.017902684444
2055,"CH4_emissions","Tg CH4","Reference","GCAM","new",442.967233665416
2060,"CH4_emissions","Tg CH4","Reference","GCAM","new",459.637770667001
2065,"CH4_emissions","Tg CH4","Reference","GCAM","new",475.504244022795
2070,"CH4_emissions","Tg CH4","Reference","GCAM","new",489.554380806557
2075,"CH4_emissions","Tg CH4","Reference","GCAM","new",503.02070016246
2080,"CH4_emissions","Tg CH4","Reference","GCAM","new",514.414936465559
2085,"CH4_emissions","Tg CH4","Reference","GCAM","new",522.906173537103
2090,"CH4_emissions","Tg CH4","Reference","GCAM","new",529.384935632693
2095,"CH4_emissions","Tg CH4","Reference","GCAM","new",534.672351427464
2100,"CH4_emissions","Tg CH4","Reference","GCAM","new",538.954589331175
1990,"CO_emissions","Tg CO","Reference","GCAM","new",811.482249924329
2005,"CO_emissions","Tg CO","Reference","GCAM","new",791.613244637986
2010,"CO_emissions","Tg CO","Reference","GCAM","new",757.619461320233
2015,"CO_emissions","Tg CO","Reference","GCAM","new",733.905633444602
2021,"CO_emissions","Tg CO","Reference","GCAM","new",673.120916301262
2025,"CO_emissions","Tg CO","Reference","GCAM","new",684.60320391032
2030,"CO_emissions","Tg CO","Reference","GCAM","new",624.99587882165
2035,"CO_emissions","Tg CO","Reference","GCAM","new",597.819804653589
2040,"CO_emissions","Tg CO","Reference","GCAM","new",581.609862100465
2045,"CO_emissions","Tg CO","Reference","GCAM","new",569.747551005562
2050,"CO_emissions","Tg CO","Reference","GCAM","new",561.834549463934
2055,"CO_emissions","Tg CO","Reference","GCAM","new",561.897686995506
2060,"CO_emissions","Tg CO","Reference","GCAM","new",561.02801602453
2065,"CO_emissions","Tg CO","Reference","GCAM","new",558.024258655946
2070,"CO_emissions","Tg CO","Reference","GCAM","new",554.822774663936
2075,"CO_emissions","Tg CO","Reference","GCAM","new",549.433280938173
2080,"CO_emissions","Tg CO","Reference","GCAM","new",541.644441062382
2085,"CO_emissions","Tg CO","Reference","GCAM","new",530.908873795941
2090,"CO_emissions","Tg CO","Reference","GCAM","new",516.840862466352
2095,"CO_emissions","Tg CO","Reference","GCAM","new",502.358973459738
2100,"CO_emissions","Tg CO","Reference","GCAM","new",488.511746319906
1990,NA,NA,"Reference","GCAM","new",NA
2005,NA,NA,"Reference","GCAM","new",NA
2010,NA,NA,"Reference","GCAM","new",NA
2015,NA,NA,"Reference","GCAM","new",NA
2021,NA,NA,"Reference","GCAM","new",NA
2025,NA,NA,"Reference","GCAM","new",NA
2030,NA,NA,"Reference","GCAM","new",NA
2035,NA,NA,"Reference","GCAM","new",NA
2040,NA,NA,"Reference","GCAM","new",NA
2045,NA,NA,"Reference","GCAM","new",NA
2050,NA,NA,"Reference","GCAM","new",NA
2055,NA,NA,"Reference","GCAM","new",NA
2060,NA,NA,"Reference","GCAM","new",NA
2065,NA,NA,"Reference","GCAM","new",NA
2070,NA,NA,"Reference","GCAM","new",NA
2075,NA,NA,"Reference","GCAM","new",NA
2080,NA,NA,"Reference","GCAM","new",NA
2085,NA,NA,"Reference","GCAM","new",NA
2090,NA,NA,"Reference","GCAM","new",NA
2095,NA,NA,"Reference","GCAM","new",NA
2100,NA,NA,"Reference","GCAM","new",NA
1990,"N2O_emissions","Tg N","Reference","GCAM","new",5.36565443642373
2005,"N2O_emissions","Tg N","Reference","GCAM","new",5.96558951013191
2010,"N2O_emissions","Tg N","Reference","GCAM","new",6.26620049086827
2015,"N2O_emissions","Tg N","Reference","GCAM","new",6.61010387130459
2021,"N2O_emissions","Tg N","Reference","GCAM","new",6.9211812761657
2025,"N2O_emissions","Tg N","Reference","GCAM","new",7.42165988512302
2030,"N2O_emissions","Tg N","Reference","GCAM","new",7.8071391727087
2035,"N2O_emissions","Tg N","Reference","GCAM","new",8.21115707190496
2040,"N2O_emissions","Tg N","Reference","GCAM","new",8.58717957518213
2045,"N2O_emissions","Tg N","Reference","GCAM","new",8.96133813078558
2050,"N2O_emissions","Tg N","Reference","GCAM","new",9.42831754724716
2055,"N2O_emissions","Tg N","Reference","GCAM","new",9.91611069633793
2060,"N2O_emissions","Tg N","Reference","GCAM","new",10.4279631032367
2065,"N2O_emissions","Tg N","Reference","GCAM","new",10.9097510060779
2070,"N2O_emissions","Tg N","Reference","GCAM","new",11.3467366829591
2075,"N2O_emissions","Tg N","Reference","GCAM","new",11.7409895756507
2080,"N2O_emissions","Tg N","Reference","GCAM","new",12.1049740787493
2085,"N2O_emissions","Tg N","Reference","GCAM","new",12.4186802891871
2090,"N2O_emissions","Tg N","Reference","GCAM","new",12.7113731466406
2095,"N2O_emissions","Tg N","Reference","GCAM","new",12.9443246172316
2100,"N2O_emissions","Tg N","Reference","GCAM","new",13.1346502673164
1990,"NH3_emissions","Tg","Reference","GCAM","new",49.3446700646542
2005,"NH3_emissions","Tg","Reference","GCAM","new",55.118988467884
2010,"NH3_emissions","Tg","Reference","GCAM","new",58.8291526894984
2015,"NH3_emissions","Tg","Reference","GCAM","new",62.0472121099323
2021,"NH3_emissions","Tg","Reference","GCAM","new",66.062048446523
2025,"NH3_emissions","Tg","Reference","GCAM","new",71.1341608034499
2030,"NH3_emissions","Tg","Reference","GCAM","new",75.1366440504051
2035,"NH3_emissions","Tg","Reference","GCAM","new",79.8438823250977
2040,"NH3_emissions","Tg","Reference","GCAM","new",84.3853529639576
2045,"NH3_emissions","Tg","Reference","GCAM","new",88.784581339954
2050,"NH3_emissions","Tg","Reference","GCAM","new",92.9101273062792
2055,"NH3_emissions","Tg","Reference","GCAM","new",96.7564599955736
2060,"NH3_emissions","Tg","Reference","GCAM","new",100.810333256897
2065,"NH3_emissions","Tg","Reference","GCAM","new",104.603114861742
2070,"NH3_emissions","Tg","Reference","GCAM","new",108.004121725686
2075,"NH3_emissions","Tg","Reference","GCAM","new",110.958794644191
2080,"NH3_emissions","Tg","Reference","GCAM","new",113.512843933567
2085,"NH3_emissions","Tg","Reference","GCAM","new",115.736942893191
2090,"NH3_emissions","Tg","Reference","GCAM","new",117.724548213207
2095,"NH3_emissions","Tg","Reference","GCAM","new",119.135656437341
2100,"NH3_emissions","Tg","Reference","GCAM","new",120.151990245882
1990,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",156.336771519795
2005,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",164.857674598227
2010,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",166.931819460506
2015,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",175.158129053281
2021,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",172.703179794746
2025,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",173.53609345984
2030,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",163.660283803046
2035,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",160.790210008286
2040,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",160.95589868085
2045,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",162.388049726015
2050,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",164.417408860568
2055,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",167.503564501172
2060,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",170.782763816753
2065,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",173.527261206483
2070,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",175.235551565962
2075,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",176.007301050109
2080,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",175.620958255785
2085,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",174.100930790965
2090,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",171.131911137044
2095,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",168.405082668241
2100,"NMVOC_emissions","Tg NMVOC","Reference","GCAM","new",165.838094291035
1990,"NOX_emissions","Tg N","Reference","GCAM","new",36.4297072154796
2005,"NOX_emissions","Tg N","Reference","GCAM","new",41.5707865083687
2010,"NOX_emissions","Tg N","Reference","GCAM","new",40.679133800607
2015,"NOX_emissions","Tg N","Reference","GCAM","new",39.4916408053522
2021,"NOX_emissions","Tg N","Reference","GCAM","new",35.7619498554698
2025,"NOX_emissions","Tg N","Reference","GCAM","new",31.5640783783736
2030,"NOX_emissions","Tg N","Reference","GCAM","new",27.3670449708867
2035,"NOX_emissions","Tg N","Reference","GCAM","new",23.8020982400222
2040,"NOX_emissions","Tg N","Reference","GCAM","new",21.4115340151711
2045,"NOX_emissions","Tg N","Reference","GCAM","new",20.431809517605
2050,"NOX_emissions","Tg N","Reference","GCAM","new",19.6665833663633
2055,"NOX_emissions","Tg N","Reference","GCAM","new",19.1909959726515
2060,"NOX_emissions","Tg N","Reference","GCAM","new",18.9631814538018
2065,"NOX_emissions","Tg N","Reference","GCAM","new",18.7832906257018
2070,"NOX_emissions","Tg N","Reference","GCAM","new",18.5842577098591
2075,"NOX_emissions","Tg N","Reference","GCAM","new",18.4188265126026
2080,"NOX_emissions","Tg N","Reference","GCAM","new",18.2400103618291
2085,"NOX_emissions","Tg N","Reference","GCAM","new",17.9790273817069
2090,"NOX_emissions","Tg N","Reference","GCAM","new",17.7584502204842
2095,"NOX_emissions","Tg N","Reference","GCAM","new",17.5266570240482
2100,"NOX_emissions","Tg N","Reference","GCAM","new",17.281209420585
